霸王别姬,,陈凯歌,,芦苇,,张国荣,,张丰毅,,巩俐,"['剧情', '爱情', '同性']",171 分钟,1993,中国大陆 / 香港, 汉语普通话,9.6
美丽人生 La vita è bella,,罗伯托·贝尼尼,,温琴佐·切拉米,,罗伯托·贝尼尼,,尼可莱塔·布拉斯基,,乔治·坎塔里尼,"['剧情', '喜剧', '爱情', '战争']",116分钟,1997,意大利, 意大利语 / 德语 / 英语,9.5
阿甘正传 Forrest Gump,,罗伯特·泽米吉斯,,艾瑞克·罗斯,,汤姆·汉克斯,,罗宾·怀特,,加里·西尼斯,"['剧情', '爱情']",142分钟,1994,美国, 英语,9.4
灿烂人生 La meglio gioventù,,马可·图利奥·吉奥达纳,,桑德罗·佩特拉利亚,,路易吉·洛·卡肖,,阿莱西奥·博尼,,索尼娅·贝加马斯科,"['剧情', '爱情', '家庭']",366分钟,2003,意大利, 意大利语,9.4
巴黎圣母院 Notre Dame de Paris,,Gilles Maheu,,Luc Plamondon,,海伦娜·赛加拉,,加劳,,丹尼尔·拉沃伊,"['剧情', '爱情', '音乐']",150分钟,1999,法国, 法语,9.4
罗密欧与朱丽叶 Roméo & Juliette: De la haine à l'amour,,Redha,,莎士比亚,,达米安·萨格,,希西莉亚·卡拉,,葛里高利·巴奎特,"['剧情', '爱情', '歌舞']",140分钟,2002,法国, 法语,9.4
泰坦尼克号 Titanic,,詹姆斯·卡梅隆,,詹姆斯·卡梅隆,,莱昂纳多·迪卡普里奥,,凯特·温丝莱特,,比利·赞恩,"['剧情', '爱情', '灾难']",194分钟,1997,美国, 英语 / 意大利语 / 德语 / 俄语,9.3
机器人总动员 WALL·E,,安德鲁·斯坦顿,,安德鲁·斯坦顿,,本·贝尔特,,艾丽莎·奈特,,杰夫·格尔林,"['爱情', '科幻', '动画', '冒险']",98分钟,2008,美国, 英语,9.3
城市之光 City Lights,,查理·卓别林,,查理·卓别林,,查理·卓别林,,弗吉尼亚·切瑞尔,,佛罗伦斯·李,"['剧情', '喜剧', '爱情']",87 分钟,1931,美国, 英语,9.3
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,,刘镇伟,,刘镇伟,,周星驰,,吴孟达,,朱茵,"['喜剧', '爱情', '奇幻', '古装']",95分钟,1995,香港 / 中国大陆, 粤语 / 汉语普通话,9.2
天堂电影院 Nuovo Cinema Paradiso,,朱塞佩·托纳多雷,,朱塞佩·托纳多雷,,安东内拉·阿蒂利,,恩佐·卡拉瓦勒,,艾萨·丹尼埃利,"['剧情', '爱情']",155分钟,1988,意大利 / 法国, 意大利语,9.2
乱世佳人 Gone with the Wind,,维克多·弗莱明,,玛格丽特·米歇尔,,费雯·丽,,克拉克·盖博,,奥利维娅·德哈维兰,"['剧情', '爱情', '历史', '战争']",238分钟,1939,美国, 英语,9.2
摩登时代 Modern Times,,查理·卓别林,,查理·卓别林,,查理·卓别林,,宝莲·高黛,,亨利·伯格曼,"['剧情', '喜剧', '爱情']",87分钟,1936,美国, 英语,9.2
生活多美好 It's a Wonderful Life,,弗兰克·卡普拉,,弗朗西丝·古德里奇,,詹姆斯·斯图尔特,,唐娜·里德,,莱昂纳尔·巴里摩尔,"['剧情', '爱情', '奇幻']",130 分钟,1946,美国, 英语 / 法语,9.2
哀乐中年,,桑弧,,桑弧,,石挥,,朱嘉琛,,沈扬,"['剧情', '爱情', '家庭']",105分钟,1949,中国大陆, 汉语普通话,9.2
狐妖小红娘剧场版：王权富贵,,王昕,,小新,,杨天翔,,刘校妤,,乔诗语,"['剧情', '喜剧', '爱情']",160分钟,2016,中国大陆, 汉语普通话,9.2
狐妖小红娘剧场版：月红篇,,王昕,,杨天翔,,杨天翔,,刘校妤,,张杰,"['爱情', '动画', '奇幻']",227分钟,2016,中国大陆, 汉语普通话,9.2
芙蓉镇,,谢晋,,阿城,,刘晓庆,,姜文,,郑在石,"['剧情', '爱情']",164 分钟,1987,中国大陆, 汉语普通话,9.1
男孩A Boy A,,约翰·克劳利,,马克·奥罗,,安德鲁·加菲尔德,,彼得·穆兰,,肖恩·埃文斯,"['剧情', '爱情', '犯罪']",106 分钟,2007,英国, 英语,8.2
爱，简单 Hoje Eu Quero Voltar Sozinho,,丹尼尔·里贝罗,,丹尼尔·里贝罗,,吉列尔梅·路宝,,法比欧·奥迪,,苔丝·阿莫林,"['剧情', '爱情', '同性']",95分钟,2014,巴西, 葡萄牙语,8.2
