,导演,编剧,主演一,主演二,主演三,类型,时长,地区,分数
0.0,8.72857142857143,9.5,8.46,9.5,9.5,7.33,6.844239999999999,7.735080645161287,9.5
1.0,7.784,7.916666666666668,7.817073170731707,7.777777777777778,7.95,7.33,7.404689999999999,7.0663419191245,9.4
2.0,9.4,9.4,9.4,9.4,9.4,7.33,8.27823,7.735080645161287,9.4
3.0,9.4,9.4,9.4,9.4,9.4,7.33,7.404689999999999,7.494675248683443,9.4
4.0,9.4,8.575000000000001,9.4,9.4,9.4,7.33,7.404689999999999,7.494675248683443,9.4
5.0,8.207142857142857,8.078947368421053,8.060869565217391,7.854545454545454,7.5,7.33,8.27823,7.0663419191245,9.3
6.0,8.011111111111113,8.372727272727273,9.3,9.3,9.3,6.91,6.844239999999999,7.0663419191245,9.3
7.0,8.954545454545453,8.954545454545453,8.94,9.3,9.3,7.33,6.6630600000000015,7.0663419191245,9.3
8.0,5.925,6.3032258064516125,7.469014084507044,7.25909090909091,6.928571428571428,6.82,6.844239999999999,6.5677324358434745,9.2
9.0,8.321428571428571,8.127272727272725,9.2,9.2,9.2,7.33,7.92058,7.735080645161287,9.2
10.0,8.5,9.2,8.342857142857143,9.2,9.2,7.33,8.27823,7.0663419191245,9.2
11.0,8.954545454545453,8.954545454545453,8.94,9.12,9.2,7.33,6.6630600000000015,7.0663419191245,9.2
12.0,8.076923076923077,9.2,8.275,9.2,8.249999999999998,7.33,7.404689999999999,7.0663419191245,9.2
13.0,8.9,9.2,9.0,9.2,9.2,7.33,6.844239999999999,5.8443960826985695,9.2
14.0,9.2,9.2,9.2,9.2,9.2,7.33,7.92058,5.8443960826985695,9.2
15.0,9.2,9.2,9.2,9.2,9.2,6.91,8.27823,5.8443960826985695,9.2
16.0,8.1,7.328571428571428,7.35,6.9750000000000005,9.1,7.33,7.92058,5.8443960826985695,9.1
17.0,7.716666666666668,8.2,7.5214285714285705,7.45,7.824999999999997,7.33,6.844239999999999,7.293932708218413,8.2
18.0,8.2,8.2,8.2,8.2,8.2,7.33,6.844239999999999,7.472093023255812,8.2
19.0,8.2,8.2,7.977777777777778,7.8076923076923075,8.2,7.33,7.92058,7.494675248683443,8.2
20.0,6.759999999999998,6.826315789473684,8.2,8.1,8.2,7.33,8.27823,7.252004860267325,8.2
21.0,6.558333333333333,6.6099999999999985,7.0166666666666675,8.2,7.125000000000001,7.33,7.404689999999999,6.5677324358434745,8.2
22.0,7.5086956521739125,8.25,7.715384615384617,7.009090909090909,7.718181818181818,7.33,7.404689999999999,7.0663419191245,8.2
23.0,8.2,8.2,8.2,7.55,8.2,7.33,6.844239999999999,7.494675248683443,8.2
24.0,8.2,7.084848484848485,8.166666666666666,7.5769230769230775,7.269230769230767,6.82,6.6630600000000015,6.5677324358434745,8.2
25.0,7.674999999999999,7.674999999999999,8.2,8.2,6.772753623188407,7.33,7.404689999999999,6.750420168067232,8.2
26.0,7.899999999999999,8.2,8.2,8.2,7.4055555555555586,7.33,7.404689999999999,6.896243291592125,8.2
27.0,7.839999999999999,8.2,7.4142857142857155,7.436363636363636,8.2,7.33,6.844239999999999,7.0663419191245,8.2
28.0,8.606250000000001,8.2,8.2,8.2,8.2,6.91,6.844239999999999,7.252004860267325,8.2
29.0,7.959999999999999,7.959999999999999,7.5777777777777775,7.366666666666666,8.2,7.33,6.844239999999999,7.293932708218413,8.2
30.0,8.2,7.77,7.959999999999999,7.8583333333333325,8.2,7.33,6.844239999999999,7.0663419191245,8.2
31.0,7.899999999999999,7.899999999999999,7.509090909090908,8.2,7.449999999999997,7.33,7.404689999999999,7.252004860267325,8.2
32.0,7.866666666666667,8.2,8.280000000000001,8.2,8.2,7.33,6.844239999999999,7.494675248683443,8.2
33.0,8.2,8.2,7.371428571428571,8.2,7.85,6.82,6.6630600000000015,7.0663419191245,8.2
34.0,8.433333333333332,8.2,7.508333333333333,7.8583333333333325,8.2,6.82,6.844239999999999,7.494675248683443,8.2
35.0,8.2,8.2,8.2,8.2,8.2,7.33,6.6630600000000015,7.603906250000002,8.2
