,a,c,e,g,i,k,l,m,n,o,p,q
1,机器人总动员 WALL·E,安德鲁·斯坦顿,安德鲁·斯坦顿,本·贝尔特,艾丽莎·奈特,杰夫·格尔林,"['爱情', '科幻', '动画', '冒险']",98分钟,2008,美国, 英语,9.3
2,星际穿越 Interstellar,克里斯托弗·诺兰,乔纳森·诺兰,马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,"['剧情', '科幻', '冒险']",169分钟,2014,美国 / 英国 / 加拿大 / 冰岛, 英语,9.2
3,楚门的世界 The Truman Show,彼得·威尔,安德鲁·尼科尔,金·凯瑞,劳拉·琳妮,艾德·哈里斯,"['剧情', '科幻']",103分钟,1998,美国, 英语,9.2
4,超感猎杀：完结特别篇 Sense8 Finale Special,拉娜·沃卓斯基,莉莉·沃卓斯基,裴斗娜,杰米·克莱顿,蒂娜·德赛,"['剧情', '科幻', '同性']",151分钟,2018,美国, 英语,9.2
5,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺兰,乔纳森·诺兰,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,"['剧情', '动作', '科幻', '惊悚', '犯罪']",152分钟,2008,美国 / 英国, 英语 / 汉语普通话,9.1
6,攻壳机动队2：无罪 攻殻機動隊2 イノセンス,押井守,押井守,田中敦子,大塚明夫,山寺宏一,"['剧情', '科幻', '动画']",100分钟,2004,日本, 日语 / 粤语,9.1
7,大都会 Metropolis,弗里茨·朗,特娅·冯·哈堡,阿弗莱德·阿贝尔,古斯塔夫·佛力施,布里吉特·赫尔姆,"['剧情', '科幻']",153分钟,1927,德国, 无对白,9.0
8,赛文奥特曼 我是地球人 ウルトラセブン わたしは地球人,神澤信一,武上纯希,南条弘二,山崎勝之,正岡邦夫,"['剧情', '动作', '科幻']",73分钟,1999,日本, 日语,9.0
9,黑客帝国 The Matrix,莉莉·沃卓斯基,莉莉·沃卓斯基,基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩,"['动作', '科幻']",136分钟,1999,美国 / 澳大利亚, 英语,8.9
10,红辣椒 パプリカ,今敏,水上清资,林原惠美,江守彻,堀胜之祐,"['科幻', '动画', '悬疑', '惊悚']",90 分钟,2006,日本, 日语,8.9
11,攻壳机动队 攻殻機動隊,押井守,伊藤和典,田中敦子,大塚明夫,山寺宏一,"['动作', '科幻', '动画']",83分钟,1995,日本, 日语,8.9
12,V字仇杀队 V for Vendetta,詹姆斯·麦克特格,莉莉·沃卓斯基,娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞,"['剧情', '动作', '科幻', '惊悚']",132分钟,2005,美国 / 英国 / 德国, 英语,8.8
13,黑客帝国动画版 The Animatrix,钟彼得,莉莉·沃卓斯基,大塚明夫,克莱顿·华生,帕梅拉·阿德龙,"['剧情', '动作', '科幻', '动画']",102 分钟,2003,美国, 英语 / 日语,8.8
14,回忆三部曲 Memories,大友克洋,大友克洋,矶部勉,山寺宏一,饭冢昭三,"['科幻', '动画', '惊悚', '奇幻']",113 分钟,1995,日本, 日语 / 英语,8.8
15,攻壳机动队SSS 攻殻機動隊 STAND ALONE COMPLEX Solid State Society,神山健治,神山健治,田中敦子,大塚明夫,阪脩,"['动作', '科幻', '动画']",108分钟,2006,日本, 日语,8.8
16,博士之日 The Day Of The Doctor,尼克·赫伦,史蒂文·莫法特,大卫·田纳特,珍娜·科尔曼,约翰·赫特,['科幻'],75分钟,2013,英国, 英语,8.8
17,头号玩家 Ready Player One,史蒂文·斯皮尔伯格,扎克·佩恩,泰伊·谢里丹,奥利维亚·库克,本·门德尔森,"['动作', '科幻', '冒险']",140分钟,2018,美国, 英语 / 日语 / 汉语普通话,8.7
18,阿凡达 Avatar,詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,"['动作', '科幻', '战争', '冒险']",162分钟,2009,美国 / 英国, 英语 / 西班牙语,8.7
19,蝴蝶效应 The Butterfly Effect,埃里克·布雷斯,J·麦基·格鲁伯,阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,"['剧情', '科幻', '悬疑', '惊悚']",113分钟,2004,美国 / 加拿大, 英语,8.7
20,升级 Upgrade,雷·沃纳尔,雷·沃纳尔,罗根·马歇尔-格林,梅拉里·沃列何,哈里森·吉尔伯特森,"['动作', '科幻', '惊悚']",100分钟,2018,澳大利亚, 英语,8.1
21,星球大战前传1：幽灵的威胁 Star Wars: Episode I - The Phantom Menace,乔治·卢卡斯,乔治·卢卡斯,连姆·尼森,伊万·麦克格雷格,娜塔莉·波特曼,"['动作', '科幻', '冒险']",136 分钟,1999,美国, 英语,8.1
22,星际宝贝 Lilo & Stitch,克里斯·桑德斯,克里斯·桑德斯,黛维·切斯,克里斯·桑德斯,蒂亚·卡雷尔,"['喜剧', '科幻', '动画', '家庭', '冒险']",85分钟,2002,美国, 英语 / Hawaiian,8.1
23,人猿星球 Planet of the Apes,富兰克林·沙夫纳,迈克尔·威尔逊,查尔登·海斯顿,罗迪·麦克道尔,金·亨特,"['科幻', '悬疑', '冒险']",112 分钟,1968,美国, 英语,8.1
24,妙想天开 Brazil,特瑞·吉列姆,特瑞·吉列姆,乔纳森·普雷斯,罗伯特·德尼罗,凯瑟琳·海蒙德,"['剧情', '科幻']",132分钟,1985,英国, 英语,8.1
25,睁开你的双眼 Abre los ojos,亚历杭德罗·阿梅纳瓦尔,亚历杭德罗·阿梅纳瓦尔,爱德华多·诺列加,佩内洛普·克鲁兹,费莱·马丁内斯,"['剧情', '爱情', '科幻', '悬疑', '惊悚']",117 分钟,1997,西班牙 / 法国 / 意大利, 西班牙语,8.1
26,星际旅行4：抢救未来 Star Trek IV: The Voyage Home,伦纳德·尼莫伊,吉恩·罗登贝瑞,威廉·夏特纳,伦纳德·尼莫伊,德福雷斯特·凯利,"['喜剧', '科幻', '冒险']",119 分钟,1986,美国, 英语,8.1
27,迷宫物语 迷宮物語,川尻善昭,川尻善昭,吉田日出子,水岛裕,大竹宏,"['科幻', '动画', '恐怖', '奇幻', '冒险']",Spain: 49 分钟,1987,日本, 日语,8.1
28,错位,黄建新,张敏,刘子枫,牟红,杨昆,['科幻'],85分钟,1986,中国大陆, 汉语普通话 / 德语,8.1
29,霹雳五号续集 Short Circuit 2,肯尼斯·约翰逊,布伦特·马多克,Tim Blaney,费舍·史蒂芬斯,迈克尔·麦基恩,"['喜剧', '科幻', '家庭']",110 分钟,1988,美国, 英语,8.1
30,变种外星人 Mutant Aliens,比尔·普莱姆顿,比尔·普莱姆顿,Amy Allison,Anthony Arcidi,Matthew Brown,"['喜剧', '科幻', '动画']",81 分钟,2001,美国, 英语,8.1
31,星际宝贝：终极任务 Leroy & Stitch,托尼·克莱格,罗伯茨·甘纳韦,黛维·切斯,克里斯·桑德斯,戴维·奥格登·施蒂尔斯,"['喜剧', '科幻', '动画', '家庭', '冒险']",73分钟,2006,美国, 英语,8.1
32,天外来客 La soupe aux choux,让·吉罗,Jean Halain,路易·德·菲奈斯,Philippe Brizard,让·卡尔梅,"['喜剧', '科幻']",98 分钟,1981,法国, 法语,8.1
33,最后决战 Le dernier combat,吕克·贝松,皮埃尔·若利韦,皮埃尔·若利韦,让·布伊兹,让·雷诺,['科幻'],92 分钟,1983,法国, 法语,8.1
34,不可思议的收缩人 The Incredible Shrinking Man,杰克·阿诺德,理查德·艾伦·西蒙斯,格兰特·威廉姆斯,Randy Stuart,April Kent,"['科幻', '惊悚']",81 分钟,1957,美国, 英语,8.1
35,BBC周日晚间剧场：1984 BBC Sunday-Night Theatre: Nineteen Eighty-Four,Rudolph Cartier,Nigel Kneale,Peter Cushing,André Morell,Yvonne Mitchell,"['剧情', '科幻']",120分钟,1954,英国, 英语,8.1
36,流浪地球,郭帆,龚格尔,屈楚萧,吴京,李光洁,"['科幻', '灾难']",125分钟,2019,中国大陆, 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语,8.0
37,银河护卫队 Guardians of the Galaxy,詹姆斯·古恩,詹姆斯·古恩,克里斯·帕拉特,佐伊·索尔达娜,布莱德利·库珀,"['动作', '科幻', '冒险']",121分钟,2014,美国 / 英国, 英语 / 萨卡语,8.0
38,银河护卫队2 Guardians of the Galaxy Vol. 2,詹姆斯·古恩,詹姆斯·古恩,克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,"['动作', '科幻', '冒险']",136分钟,2017,美国, 英语,8.0
39,云图 Cloud Atlas,汤姆·提克威,汤姆·提克威,汤姆·汉克斯,哈莉·贝瑞,吉姆·布劳德本特,"['剧情', '科幻', '悬疑']",134分钟(中国大陆),2012,德国 / 美国 / 香港 / 中国大陆 / 新加坡, 英语 / 西班牙语,8.0
40,硬核亨利 Хардкор,伊利亚·奈舒勒,伊利亚·奈舒勒,沙尔托·科普雷,丹尼拉·科兹洛夫斯基,海莉·贝内特,"['动作', '科幻', '冒险']",96分钟,2015,俄罗斯 / 美国, 英语 / 俄语,7.6
41,机器战警 RoboCop,保罗·范霍文,爱德华·诺麦尔,彼得·威勒,南茜·艾伦,丹·奥赫里奇,"['剧情', '动作', '科幻', '惊悚', '犯罪']",102 分钟,1987,美国, 英语,7.6
42,生化危机：诅咒 バイオハザード ダムネーション,神谷诚,菅正太郎,马修·默瑟,戴夫·维滕博格,柯特奈·泰勒,"['动作', '科幻', '动画', '惊悚', '恐怖']",100分钟,2012,日本, 日语,7.6
43,铁血战士 Predator,约翰·麦克蒂尔南,Jim Thomas,阿诺·施瓦辛格,卡尔·韦瑟斯,艾尔皮迪娅·卡里洛,"['动作', '科幻', '惊悚', '冒险']",107 分钟,1987,美国, 英语 / 西班牙语,7.6
44,火星任务 Mission to Mars,布莱恩·德·帕尔玛,格雷厄姆·约斯特,加里·西尼斯,蒂姆·罗宾斯,唐·钱德尔,"['剧情', '科幻', '惊悚', '冒险']",114分钟,2000,美国, 英语,7.6
45,霹雳贝贝,翁路明,张之路,张京,王莹,章萍,"['剧情', '科幻', '儿童']",90分钟,1988,中国大陆, 汉语普通话,7.6
