,a,c,e,g,i,k,l,m,n,o,p,q
1,胡丽叶塔 Julieta,佩德罗·阿莫多瓦,佩德罗·阿莫多瓦,埃玛·苏亚雷斯,阿德里亚娜·乌加特,丹尼尔·格劳,"['剧情', '爱情', '悬疑']",99分钟,2016,西班牙, 西班牙语,7.4
2,不当交易 부당거래,柳昇完,朴勋政,柳昇范,黄政民,千虎珍,"['悬疑', '惊悚']",119分钟,2010,韩国, 韩语,7.4
3,记忆之夜 기억의 밤,张恒准,张恒准,姜河那,金武烈,文成根,"['悬疑', '惊悚']",109分钟,2017,韩国, 韩语,7.4
4,抚养亚利桑纳 Raising Arizona,伊桑·科恩,伊桑·科恩,尼古拉斯·凯奇,霍利·亨特,特雷·威尔逊,"['喜剧', '悬疑', '犯罪', '冒险']",94 分钟,1987,美国, 英语,7.4
5,趣味游戏 Funny Games,迈克尔·哈内克,迈克尔·哈内克,苏珊娜·洛塔尔,乌尔里希·穆埃,亚诺·弗里斯奇,"['剧情', '悬疑', '惊悚', '犯罪']",108 分钟,1997,奥地利, 德语 / 法语 / 意大利语,7.4
6,活死人之夜 Night of the Living Dead,乔治·A·罗梅罗,乔治·A·罗梅罗,杜安·琼斯,朱迪丝·奥迪娅,卡尔·哈德曼,"['悬疑', '恐怖']",96 分钟,1968,美国, 英语,7.4
7,深闺疑云 Suspicion,阿尔弗雷德·希区柯克,山姆森·雷佛森,琼·芳登,加里·格兰特,塞德里克·哈德威克,"['剧情', '悬疑', '惊悚']",99 分钟,1941,美国, 英语,7.4
8,悬崖上的野餐 Picnic at Hanging Rock,彼得·威尔,克利夫·格林,Rachel Roberts,威文·格雷,海伦·摩斯,"['剧情', '悬疑', '惊悚', '恐怖']",115 分钟,1975,澳大利亚, 英语 / 法语,7.4
9,蝶变 蝶變,徐克,林凡,刘兆铭,黄树棠,高雄,"['动作', '悬疑', '武侠', '古装']",88 分钟,1979,香港, 粤语,7.4
10,梅格雷的亡者 Maigret's Dead Man,荣·伊斯特,斯图尔特·哈考特,罗温·艾金森,安娜玛丽亚·玛琳卡,约翰·莱特,"['剧情', '悬疑', '犯罪']",88分钟,2016,英国, 英语,7.4
11,凶兆 The Omen,理查德·唐纳,大卫·斯勒茨,格利高里·派克,丽·莱米克,大卫·沃纳,"['悬疑', '恐怖']",111 分钟,1976,英国 / 美国, 英语 / 拉丁语 / 意大利语,7.4
12,夜长梦多 The Big Sleep,霍华德·霍克斯,威廉·福克纳,亨弗莱·鲍嘉,劳伦·白考尔,约翰·里德格利,"['悬疑', '惊悚', '犯罪', '黑色电影']",114 分钟,1946,美国, 英语,7.4
13,异世浮生 Jacob's Ladder,阿德里安·莱恩,布鲁斯·乔尔·鲁宾,蒂姆·罗宾斯,伊丽莎白·佩纳,丹尼·爱罗,"['剧情', '悬疑', '惊悚']",113分钟,1990,美国, 英语,7.4
14,时间裂缝 The Langoliers,汤姆·霍兰德,斯蒂芬·金,帕特丽夏·温迪,大卫·摩斯,弗兰基·费森,"['科幻', '悬疑', '惊悚', '恐怖']",180分钟,1995,USA, English,7.4
