,a,c,e,g,i,k,l,m,n,o,p,q
1,神秘博士：2008逍遥音乐会 Doctor Who at the Proms,Rhodri Huw,拉塞尔·T·戴维斯,Freema Agyeman,Catherine Tate,Ben Foster,['音乐'],95分钟,2008,英国, 英语,9.5
2,巴黎圣母院 Notre Dame de Paris,Gilles Maheu,Luc Plamondon,海伦娜·赛加拉,加劳,丹尼尔·拉沃伊,"['剧情', '爱情', '音乐']",150分钟,1999,法国, 法语,9.4
3,跳出我天地音乐剧 Billy Elliot the Musical,史蒂芬·戴德利,李·哈尔,Elliott Hanna,鲁茜·亨肖,Deka Walmsley,"['剧情', '喜剧', '音乐']",169分钟,2014,英国, 英语,9.4
4,放牛班的春天 Les choristes,克里斯托夫·巴拉蒂,乔治·沙普罗,热拉尔·朱尼奥,弗朗索瓦·贝莱昂,凯德·麦拉德,"['剧情', '音乐']",97分钟,2004,法国 / 瑞士 / 德国, 法语,9.3
5,海上钢琴师 La leggenda del pianista sull'oceano,朱塞佩·托纳多雷,亚利桑德罗·巴里克,蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩,"['剧情', '音乐']",165分钟,1998,意大利, 英语 / 法语 / 意大利语,9.2
6,最佳污点 The Best of Blur,Dave Balfe,达蒙·奥尔本,达蒙·奥尔本,格拉翰姆·考可森,Alex James,['音乐'],90 分钟,2000,英国, 英语,9.3
7,钢琴家 The Pianist,罗曼·波兰斯基,罗纳德·哈伍德,艾德里安·布洛迪,托马斯·克莱舒曼,艾米莉娅·福克斯,"['剧情', '音乐', '传记', '历史', '战争']",150分钟,2002,法国 / 德国 / 英国 / 波兰, 英语 / 德语 / 俄语,9.1
8,寻梦环游记 Coco,李·昂克里奇,阿德里安·莫利纳,安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,"['喜剧', '动画', '音乐', '奇幻']",105分钟,2017,美国, 英语 / 西班牙语,9.0
9,幻想曲 Fantasia,詹姆斯·阿尔格,Lee Blair,华特·迪士尼,列奥波德·斯托科夫斯基,Deems Taylor,"['动画', '音乐', '奇幻']",125分钟,1940,美国, 英语,8.9
10,幻想曲2000 Fantasia 2000,詹姆斯·阿尔格,埃里克·古德伯格,史蒂夫·马丁,伊扎克·帕尔曼,昆西·琼斯,"['动画', '音乐', '奇幻']",USA: 74 分钟,1999,美国, 英语,8.9
11,谜之音 Inni,Vincent Morisset,Jon Thor Birgisson,Jon Thor Birgisson,Orri P. Dyrason,Georg Holm,['音乐'],74分钟,2011,英国 / 冰島 Iceland / 加拿大 Canada, 英语 / Icelandic,8.9
