拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
千与千寻 千と千尋の神隠し,,宫崎骏,,宫崎骏,,柊瑠美,,入野自由,,夏木真理,"['剧情', '动画', '奇幻']",125分钟,2001,日本, 日语,9.3
机器人总动员 WALL·E,,安德鲁·斯坦顿,,安德鲁·斯坦顿,,本·贝尔特,,艾丽莎·奈特,,杰夫·格尔林,"['爱情', '科幻', '动画', '冒险']",98分钟,2008,美国, 英语,9.3
大闹天宫,,万籁鸣,,李克弱,,邱岳峰,,富润生,,毕克,"['动画', '奇幻']",114分钟,1961,中国大陆, 汉语普通话,9.3
疯狂动物城 Zootopia,,拜伦·霍华德,,拜伦·霍华德,,金妮弗·古德温,,杰森·贝特曼,,伊德里斯·艾尔巴,"['喜剧', '动画', '冒险']",109分钟(中国大陆),2016,美国, 英语 / 挪威语,9.2
龙猫 となりのトトロ,,宫崎骏,,宫崎骏,,日高法子,,坂本千夏,,糸井重里,"['动画', '奇幻', '冒险']",86分钟,1988,日本, 日语,9.2
欢乐树的朋友们：赶尽杀绝 Happy Tree Friends: Overkill,,Alan Lau,,Aubrey Ankrum,,Aubrey Ankrum,,Dana Belben,,Jeff Biancalana,"['喜剧', '动画']",84分钟,2005,美国, 英语,9.2
攻壳机动队SAC：笑面男 攻殻機動隊 STAND ALONE COMPLEX The Laughing Man,,神山健治,,士郎正宗,,田中敦子,,大塚明夫,,山寺宏一,['动画'],160分钟,2005,日本, 日语,9.2
"欢乐树的朋友们：第二发球 Happy Tree Friends, Volume 2: Second Serving",,Rhode Montijo,,Mark Fiorenza,,Michael 'Lippy' Lipman,,Peter Herrmann,,Liz Stewart,"['喜剧', '动画']",60分钟,2003,美国, 英语,9.2
"欢乐树的朋友们：第三击 Happy Tree Friends, Volume 3: Third Strike",,Rhode Montijo,,Jeff Biancalana,,Michael 'Lippy' Lipman,,Peter Herrmann,,Liz Stewart,"['喜剧', '动画']",135分钟,2004,美国, 英语,9.2
狐妖小红娘剧场版：月红篇,,王昕,,杨天翔,,杨天翔,,刘校妤,,张杰,"['爱情', '动画', '奇幻']",227分钟,2016,中国大陆, 汉语普通话,9.2
天空之城 天空の城ラピュタ,,宫崎骏,,宫崎骏,,田中真弓,,横泽启子,,初井言荣,"['动画', '奇幻', '冒险']",125分钟,1986,日本, 日语,9.1
天书奇谭,,王树忱,,王树忱,,丁建华,,毕克,,尚华,"['动画', '奇幻']",89分钟,1983,中国大陆, 汉语普通话,9.1
攻壳机动队2：无罪 攻殻機動隊2 イノセンス,,押井守,,押井守,,田中敦子,,大塚明夫,,山寺宏一,"['剧情', '科幻', '动画']",100分钟,2004,日本, 日语 / 粤语,9.1
蜂蜜与四叶草 LF特别篇 ハチミツとクローバー L/F話,,カサヰケンイチ,,黑田洋介,,神谷浩史,,工藤晴香,,上田祐司,['动画'],22分钟,2005,日本, 日语,9.1
欢乐树的朋友们：滑雪巡逻救生队 Happy Tree Friends: Ski Patrol,,Jason Sadler,,Ellen Connell,,Ellen Connell,,Warren Graff,,Kenn Navarro,"['喜剧', '动画']",74分钟,2006,美国, 英语,9.1
怪医黑杰克 ブラック・ジャック,,出崎统,,出崎统,,大塚明夫,,水谷优子,,星野充昭,"['剧情', '动画', '惊悚']",93分钟,1996,日本 / 德国, 日语 / 德语,8.7
丁丁历险记之太阳神的囚徒 Tintin et le temple du soleil,,Raymond Leblanc,,Michel Regnier,,Philippe Ogouz,,Claude Bertrand,,Jacques Balutin,"['动画', '悬疑', '冒险']",77 分钟,1969,法国 / 比利时 / 瑞士, 法语,8.7
我的妹妹小桃子 もも子、かえるの歌がきこえるよ。,,四分一节子 Setsuko Shibuichi,,小出一巳,,間宮くるみ,,内山昂辉,,大石治人,"['动画', '儿童']",78分钟,2003,日本, 日语,8.7
"盗梦特攻队 Ruben Brandt, a gyüjtö",,米洛拉德·科斯蒂奇,,米洛拉德·科斯蒂奇,,伊万·卡马拉斯,,加布里瑞拉·哈默里,,佐兰·马克兰兹,"['动画', '犯罪']",94分钟,2018,匈牙利, 英语 / 匈牙利语,8.7
通烟囱工人与牧羊女 La bergère et le ramoneur,,保罗·格里莫尔,,安徒生,,皮埃尔·布拉瑟,,Anouk Aimée,,Serge Reggiani,"['喜剧', '动画', '奇幻']",63 分钟,1952,法国, 英语 / 法语,8.7
超能陆战队 Big Hero 6,,唐·霍尔,,乔丹·罗伯茨,,斯科特·安第斯,,瑞恩·波特,,丹尼尔·海尼,"['喜剧', '动作', '科幻', '动画', '冒险']",102分钟,2014,美国, 英语,8.6
"怪兽电力公司 Monsters, Inc.",,彼特·道格特,,安德鲁·斯坦顿,,约翰·古德曼,,比利·克里斯托,,玛丽·吉布斯,"['喜剧', '动画', '儿童', '奇幻', '冒险']",92 分钟,2001,美国, 英语,8.6
魔女宅急便 魔女の宅急便,,宫崎骏,,宫崎骏,,高山南,,佐久间玲,,户田惠子,"['动画', '奇幻', '冒险']",103分钟,1989,日本, 日语,8.6
穿越时空的少女 時をかける少女,,细田守,,奥寺佐渡子,,仲里依纱,,石田卓也,,板仓光隆,"['剧情', '爱情', '科幻', '动画']",98分钟,2006,日本, 日语,8.6
千年女优 千年女優,,今敏,,今敏,,小山茉美,,饭塚昭三,,折笠富美子,"['剧情', '爱情', '动画']",87 分钟,2001,日本, 日语,8.6
岁月的童话 おもひでぽろぽろ,,高畑勋,,高畑勋,,今井美树,,柳叶敏郎,,本名阳子,"['剧情', '爱情', '动画']",118 分钟,1991,日本, 德语 / 日语 / 匈牙利语,8.6
狼的孩子雨和雪 おおかみこどもの雨と雪,,细田守,,奥寺佐渡子,,宫崎葵,,大泽隆夫,,黑木华,"['剧情', '动画', '家庭', '奇幻']",117分钟,2012,日本, 日语,8.6
恶童 鉄コン筋クリート,,迈克尔·艾里亚斯,,Anthony Weintraub,,二宫和也,,苍井优,,伊势谷友介,"['动作', '动画', '犯罪', '冒险']",111 分钟,2006,日本, 日语,8.6
小马王 Spirit: Stallion of the Cimarron,,凯利·阿斯博瑞,,约翰·福斯克,,马特·达蒙,,詹姆斯·克伦威尔,,Daniel Studi,"['爱情', '动画', '西部', '冒险']",83 分钟,2002,美国, 英语,8.6
钢铁巨人 The Iron Giant,,布拉德·伯德,,蒂姆·麦肯莱斯,,艾力·马伦斯奥,,范·迪塞尔,,小哈里·康尼克,"['喜剧', '科幻', '动画', '冒险']",86分钟,1999,美国, 英语,8.6
王子与公主 Princes et princesses,,米歇尔·欧斯洛,,米歇尔·欧斯洛,,Arlette Mirapeu,,Philippe Cheytion,,Yves Barsacq,"['喜剧', '动画', '奇幻']",70 分钟,2000,法国, 法语,8.6
人狼,,冲浦启之,,押井守,,藤木义胜,,武藤寿美,,木下浩之,"['科幻', '动画']",102 分钟,1999,日本, 日语,8.6
反叛的童谣 Revolting Rhymes,,扬·拉豪尔,,扬·拉豪尔,,罗伯·布莱顿,,露丝·莱斯利,,嘉玛·陈,['动画'],57分钟,2016,英国, 英语,8.6
猫儿历险记 The Aristocats,,沃夫冈·雷瑟曼,,Larry Clemmons,,菲尔·哈里斯 ,,伊娃·嘉宝,,斯特灵·哈洛威,"['喜剧', '动画', '音乐', '冒险']",78分钟,1970,美国, 英语,8.3
最臭兵器,,冈村天斋,,大友克洋,,崛秀行,,羽佐间道夫,,大塚周夫,"['动作', '动画', '战争']",40分钟,1995,日本, 日语,8.3
幸存的生命（理论与实践） Prezít svuj zivot (teorie a praxe),,杨·史云梅耶,,杨·史云梅耶,,Václav Helsus,,Klára Issová,,Zuzana Kronerová,"['喜剧', '动画', '奇幻']",105 分钟,2010,捷克 / 斯洛伐克 / 日本, 捷克语,8.3
伊凡王子与百变公主 Ivan Tsarévitch et la Princesse Changeante,,米歇尔·欧斯洛,,米歇尔·欧斯洛,,朱利安·贝朗米斯,,马里内·格里泽,,伊夫·巴萨克,['动画'],53分钟,2016,法国, 法语,8.3
小猪大行动 Piglet's Big Movie,,Francis Glebas,,A·A·米尔恩,,约翰·菲德勒,,吉姆·库宁斯,,Andre Stojka,"['动画', '冒险']",75 分钟,2003,美国, 英语,8.3
足球小将 奔向明日！ キャプテン翼 明日に向って走れ!,,中田憲由,,菅良幸,,小粥よう子,,山田栄子,,鈴置洋孝,"['动画', '运动']",35分钟,1986,日本, 日语,8.3
僵尸新娘 Corpse Bride,,蒂姆·波顿,,蒂姆·波顿,,约翰尼·德普,,海伦娜·伯翰·卡特,,艾米丽·沃森,"['剧情', '动画', '奇幻']",77分钟,2005,美国 / 英国, 英语,8.2
冰川时代3 Ice Age: Dawn of the Dinosaurs,,卡洛斯·沙尔丹哈,,彼得·阿克曼,,雷·罗马诺,,约翰·雷吉扎莫,,丹尼斯·利瑞,"['喜剧', '动画', '冒险']",94 分钟,2009,美国, 英语,8.2
言叶之庭 言の葉の庭,,新海诚,,新海诚,,入野自由,,花泽香菜,,平野文,"['爱情', '动画']",46分钟(日本),2013,日本, 日语,8.2
魔发奇缘 Tangled,,内森·格雷诺,,雅各布·格林,,曼迪·摩尔,,扎克瑞·莱维,,唐纳·墨菲,"['喜剧', '动画', '冒险']",100分钟,2010,美国, 英语,8.2
