这个杀手不太冷 Léon,,吕克·贝松,,吕克·贝松,,让·雷诺,,娜塔莉·波特曼,,加里·奥德曼,"['剧情', '动作', '犯罪']",110分钟(剧场版),1994,法国, 英语 / 意大利语 / 法语,9.4
七武士 七人の侍,,黑泽明,,黑泽明,,三船敏郎,,志村乔,,稻叶义男,"['剧情', '动作', '冒险']",160分钟(国际版),1954,日本, 日语,9.2
蝙蝠侠：黑暗骑士 The Dark Knight,,克里斯托弗·诺兰,,乔纳森·诺兰,,克里斯蒂安·贝尔,,希斯·莱杰,,艾伦·艾克哈特,"['剧情', '动作', '科幻', '惊悚', '犯罪']",152分钟,2008,美国 / 英国, 英语 / 汉语普通话,9.1
指环王3：王者无敌 The Lord of the Rings: The Return of the King,,彼得·杰克逊,,弗兰·威尔士,,维果·莫腾森,,伊莱贾·伍德,,西恩·奥斯汀,"['剧情', '动作', '奇幻', '冒险']",201分钟,2003,美国 / 新西兰, 英语 / 昆雅语 / 古英语 / 辛达林语,9.1
搏击俱乐部 Fight Club,,大卫·芬奇,,恰克·帕拉尼克,,爱德华·诺顿,,布拉德·皮特,,海伦娜·伯翰·卡特,"['剧情', '动作', '悬疑', '惊悚']",139 分钟,1999,美国 / 德国, 英语,9.0
指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,,彼得·杰克逊,,弗兰·威尔士,,伊莱贾·伍德,,西恩·奥斯汀,,伊恩·麦克莱恩,"['剧情', '动作', '奇幻', '冒险']",178分钟,2001,新西兰 / 美国, 英语 / 辛达林语,9.0
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,,彼得·杰克逊,,弗兰·威尔士,,伊莱贾·伍德,,西恩·奥斯汀,,伊恩·麦克莱恩,"['剧情', '动作', '奇幻', '冒险']",179分钟,2002,美国 / 新西兰, 英语 / 辛达林语 / 古代英语,9.0
将军号 The General,,巴斯特·基顿,,巴斯特·基顿,,巴斯特·基顿,,玛丽昂·马克,,格伦·卡文德,"['剧情', '喜剧', '动作', '战争', '冒险']",67分钟,1926,美国, 无对白,9.0
黑客帝国 The Matrix,,莉莉·沃卓斯基,,莉莉·沃卓斯基,,基努·里维斯,,凯瑞-安·莫斯,,劳伦斯·菲什伯恩,"['动作', '科幻']",136分钟,1999,美国 / 澳大利亚, 英语,8.9
勇敢的心 Braveheart,,梅尔·吉布森,,兰道尔·华莱士,,梅尔·吉布森,,苏菲·玛索,,布莱恩·考克斯,"['剧情', '动作', '传记', '历史', '战争']",177 分钟,1995,美国, 英语 / 法语 / 拉丁语 / 苏格兰盖尔语,8.9
