肖申克的救赎 The Shawshank Redemption,,弗兰克·德拉邦特,,弗兰克·德拉邦特,,蒂姆·罗宾斯,,摩根·弗里曼,,鲍勃·冈顿,"['剧情', '犯罪']",142分钟,1994,美国, 英语,9.6
霸王别姬,,陈凯歌,,芦苇,,张国荣,,张丰毅,,巩俐,"['剧情', '爱情', '同性']",171 分钟,1993,中国大陆 / 香港, 汉语普通话,9.6
控方证人 Witness for the Prosecution,,比利·怀德,,阿加莎·克里斯蒂,,泰隆·鲍华,,玛琳·黛德丽,,查尔斯·劳顿,"['剧情', '悬疑', '犯罪']",116分钟,1957,美国, 英语 / 德语,9.6
美丽人生 La vita è bella,,罗伯托·贝尼尼,,温琴佐·切拉米,,罗伯托·贝尼尼,,尼可莱塔·布拉斯基,,乔治·坎塔里尼,"['剧情', '喜剧', '爱情', '战争']",116分钟,1997,意大利, 意大利语 / 德语 / 英语,9.5
辛德勒的名单 Schindler's List,,史蒂文·斯皮尔伯格,,托马斯·肯尼利,,连姆·尼森,,本·金斯利,,拉尔夫·费因斯,"['剧情', '历史', '战争']",195分钟,1993,美国, 英语 / 希伯来语 / 德语 / 波兰语,9.5
这个杀手不太冷 Léon,,吕克·贝松,,吕克·贝松,,让·雷诺,,娜塔莉·波特曼,,加里·奥德曼,"['剧情', '动作', '犯罪']",110分钟(剧场版),1994,法国, 英语 / 意大利语 / 法语,9.4
阿甘正传 Forrest Gump,,罗伯特·泽米吉斯,,艾瑞克·罗斯,,汤姆·汉克斯,,罗宾·怀特,,加里·西尼斯,"['剧情', '爱情']",142分钟,1994,美国, 英语,9.4
十二怒汉 12 Angry Men,,西德尼·吕美特,,雷金纳德·罗斯,,亨利·方达,,马丁·鲍尔萨姆,,约翰·菲德勒,['剧情'],96 分钟,1957,美国, 英语,9.4
背靠背，脸对脸,,黄建新,,黄建新,,牛振华,,雷恪生,,李强,['剧情'],141分钟,1994,中国大陆 / 香港, 汉语普通话,9.4
灿烂人生 La meglio gioventù,,马可·图利奥·吉奥达纳,,桑德罗·佩特拉利亚,,路易吉·洛·卡肖,,阿莱西奥·博尼,,索尼娅·贝加马斯科,"['剧情', '爱情', '家庭']",366分钟,2003,意大利, 意大利语,9.4
茶馆,,谢添,,老舍,,于是之,,郑榕,,蓝天野,"['剧情', '历史']",118分钟,1982,中国大陆, 北京话,9.4
十二怒汉 Studio One: Twelve Angry Men,,富兰克林·沙夫纳,,雷金纳德·罗斯,,罗伯特·卡明斯,,法兰奇·汤恩,,爱德华·阿诺德,"['剧情', '悬疑', '犯罪']",52分钟,1954,美国, 英语,9.4
控方证人 Witness for the Prosecution,,艾伦·吉布森,,阿加莎·克里斯蒂,,拉尔夫·理查德森,,黛博拉·蔻儿,,博·布里奇斯,"['剧情', '悬疑', '犯罪']",97分钟,1982,美国 / 英国, 英语,9.4
罗密欧与朱丽叶 Roméo & Juliette: De la haine à l'amour,,Redha,,莎士比亚,,达米安·萨格,,希西莉亚·卡拉,,葛里高利·巴奎特,"['剧情', '爱情', '歌舞']",140分钟,2002,法国, 法语,9.4
盗梦空间 Inception,,克里斯托弗·诺兰,,克里斯托弗·诺兰,,莱昂纳多·迪卡普里奥,,约瑟夫·高登-莱维特,,艾伦·佩吉,"['剧情', '科幻', '悬疑', '冒险']",148分钟,2010,美国 / 英国, 英语 / 日语 / 法语,9.3
泰坦尼克号 Titanic,,詹姆斯·卡梅隆,,詹姆斯·卡梅隆,,莱昂纳多·迪卡普里奥,,凯特·温丝莱特,,比利·赞恩,"['剧情', '爱情', '灾难']",194分钟,1997,美国, 英语 / 意大利语 / 德语 / 俄语,9.3
千与千寻 千と千尋の神隠し,,宫崎骏,,宫崎骏,,柊瑠美,,入野自由,,夏木真理,"['剧情', '动画', '奇幻']",125分钟,2001,日本, 日语,9.3
忠犬八公的故事 Hachi: A Dog's Tale,,拉斯·霍尔斯道姆,,斯蒂芬·P·林赛,,理查·基尔,,萨拉·罗默尔,,琼·艾伦,['剧情'],93分钟,2009,美国 / 英国, 英语 / 日语,9.3
